organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
dxf5N2oFePK,Tudun Wada Primary Health Center,p.ng.CIHP.3673,,,,,,478,478,478,478,4,,0,766
gt5hRKlSQiC,Tumu Cottage Hospital,p.ng.FGHiN.3602,,,,,,225,225,225,225,0,,0,144
Tp20jDfntkx,Tunfare Health Center,p.ng.FGHiN.3590,,,,,,143,141,141,141,2,,0,47
B9b0kLB5WLW,Abacheke Model Primary Health Center,p.ng.CCCRN.3958,,,,,,144,144,144,144,0,,0,144
qGQliH5UA4W,Aboh Mbaise General Hospital,p.ng.CCCRN.3782,,853,813,40,65,102,102,102,102,10,,0,331
lSdzvxy52gz,Agbaja Primary Health Care,p.ng.CCCRN.3918,,,,,,35,35,35,35,2,,0,34
wgbiuYyunTU,Akabo Health Center,p.ng.CCCRN.3945,,,,,,181,181,181,181,2,,0,181
iNAUwryamCV,Akwakuma Health Center,p.ng.CCCRN.4061,,,,,,615,615,615,615,1,,0,1053
Of2XxJh71lU,Amaimo Primary Health Center,p.ng.CCCRN.3842,,,,,,267,267,267,267,0,,0,267
R4H3IujZs6Y,Amaji Health Center Awo,p.ng.CCCRN.4028,,,,,,7,7,7,7,0,,0,207
Do0PgBgsx5O,Amanda Hospital,p.ng.CCCRN.4049,,,,,,0,0,0,0,0,,0,290
TA9QfMYeaJ2,Amiri Health Center,p.ng.CCCRN.4030,,,,,,62,62,62,62,2,,0,484
iv0qlMT9FCJ,Amuzu Primary Health Center,p.ng.CCCRN.3780,,,,,,111,111,111,111,0,,0,173
D1NMrAUkymP,Atta Primary Health Center,p.ng.CCCRN.3841,,,,,,53,53,53,53,0,,0,53
rQWlevEDIYK,Awara Health Center,p.ng.CCCRN.3961,,,,,,322,322,322,322,0,,0,322
f2qyEIuAJVS,Awo Omamma General Hospital,p.ng.CCCRN.4036,,1668,1628,40,91,117,117,117,117,17,,0,702
j6z2xybgRB0,Chokoneze Ndutu Primary Health Center,p.ng.CCCRN.3804,,,,,,767,767,767,767,2,,0,767
fCYr8svhaBR,Dimnanume Health Center,p.ng.CCCRN.3925,,,,,,27,27,27,27,1,,0,26
tmTTFjnghHW,Ebenato Ekwe Health Center,p.ng.CCCRN.3865,,,,,,106,106,106,106,0,,4,108
g1UrVmQHvzq,Ebenator Health Center,p.ng.CCCRN.4015,,,,,,82,82,82,82,0,,0,82
xxdjXslNZVI,Egbuoma Health Center,p.ng.CCCRN.3946,,,,,,467,467,467,467,1,,0,467
aFdnxZo7IzW,Ekobi Health Center,p.ng.CCCRN.4059,,,,,,74,74,74,74,0,,0,304
jRwU6kFKmtR,Ekwereazu Town Primary Health Center,p.ng.CCCRN.3788,,,,,,142,142,142,142,1,,0,144
qY7BsSDw1Cq,Elelem Primary Health Center,p.ng.CCCRN.3883,,,,,,285,285,285,285,0,,0,285
LChphYuy66R,Enuigbo Abata Health Center,p.ng.CCCRN.3953,,,,,,31,31,31,31,4,,0,31
LHtx7tlBgii,Ezioha Amaifeke Health Center,p.ng.CCCRN.4007,,,,,,76,76,76,76,0,,0,163
agbAWTBDp3E,Federal Medical Center - Owerri,p.ng.CCCRN.4053,,1553,1482,71,54,0,0,0,0,0,,0,0
cXN58l7fdGH,General Hospital Egbema,p.ng.CCCRN.3968,,,,,,8,8,8,8,2,,0,8
uRxRCcfJZfW,Holy Rosary Hospital - Emekuku,p.ng.CCCRN.4060,,1608,1578,30,61,188,147,147,147,15,,85,1171
vidxf7Mjwn0,Holy Rosary Hospital Ogbor Nguru,p.ng.CCCRN.3781,,,,,,107,107,107,107,3,,0,500
kkOnGhpxLhD,Ibele Health Center,p.ng.CCCRN.3894,,,,,,57,57,57,57,0,,0,57
NjwSOkyHfkb,Ibiasoegbe Health Center,p.ng.CCCRN.4038,,,,,,44,44,44,44,0,,0,44
pqZOGfwliKS,Ihitte-Ogada Health Center,p.ng.CCCRN.4062,,,,,,1306,1306,1306,1306,1,,0,1522
xYAJgjPnORf,Iho Basic Health Center,p.ng.CCCRN.3843,,,,,,225,225,225,225,2,,0,224
mCzi7WHsXYy,Ikperejere Primary Health Center,p.ng.ECEWS.3837,,,,,,12,12,12,12,0,,0,93
or6uZUxBj2u,Immaculate Hospital - Urualla,p.ng.CCCRN.3813,,,,,,19,19,19,19,3,,3,18
nN2Ume37GLM,Imo State University Teaching Hospital,p.ng.CCCRN.4002,,2027,1991,36,115,55,55,55,55,10,,2,379
AapYzclGSfX,International Christian Hospital,p.ng.CCCRN.4052,,,,,,0,0,0,0,0,,0,172
Vjs3x72yU8j,Irette Health Center,p.ng.CCCRN.4067,,,,,,0,0,0,0,0,,0,0
QkEZjvzSdoF,Isinweke Primary Health Center,p.ng.ECEWS.3835,,,,,,77,77,77,77,0,,0,214
EIYp2D17a1J,Itu Primary Health Care,p.ng.CCCRN.3802,,,,,,612,612,612,612,0,,0,612
d5JWAnFMior,Mater Amabili Catholic Hospital - Akokwa,p.ng.CCCRN.3815,,,,,,8,8,8,8,0,,0,8
aMKXrfGkE1q,Mbieri General Hospital,p.ng.CCCRN.3880,,382,372,10,29,21,21,21,21,2,,0,19
NiviaoJZNyh,Mbutu Primary Health Center,p.ng.CCCRN.3777,,,,,,61,61,61,61,0,,0,163
bfG97xTc2Nj,Mgbala Primary Health Center,p.ng.CCCRN.3944,,,,,,56,56,56,56,1,,0,56
o6YhejQrXrD,Mgbirichi Health Center,p.ng.CCCRN.3966,,,,,,129,129,129,129,0,,0,129
zfdD2sjZ6zu,Naze Health Center,p.ng.CCCRN.4057,,,,,,125,125,125,125,0,,0,215
gvwz0e7bZSs,Ndukwu Hospital,p.ng.CCCRN.3898,,,,,,11,11,11,11,0,,0,11
NYRtPzldgyg,Ndukwu Hospital and Maternity Amaifeke,p.ng.CCCRN.4011,,,,,,109,109,109,109,0,,0,264
giBK8kuxNmo,Ngor Okpala General Hospital,p.ng.CCCRN.3884,,,,,,7,7,7,7,0,,2,7
M7TglGINY24,Nkwere Maternal and Child Health Clinic,p.ng.CCCRN.3906,,,,,,54,54,54,54,0,,0,54
ccEqDMosxj8,Nkworgwu Health Center,p.ng.CCCRN.3776,,,,,,89,89,89,89,0,,0,246
ssrXK0edvoQ,Nnariambia Primary Health Center,p.ng.CCCRN.3785,,,,,,301,301,301,301,1,,0,301
c2jv8zIEbuv,Nnerim Primary Health Center,p.ng.CCCRN.3868,,,,,,13,13,13,13,0,,0,17
QkG3k13nmsV,Nworieubi Primary Health Center,p.ng.CCCRN.3875,,,,,,90,90,90,90,1,,0,90
SJz5sGEhrMj,Obudi Aro Primary Health Center,p.ng.CCCRN.3950,,,,,,24,24,24,24,0,,0,24
UWdEApuTobi,Ogboko Health Ideato South,p.ng.CCCRN.3826,,,,,,1059,1059,1059,1059,0,,0,1059
goe5odmMRiC,Ogwa General Hospital,p.ng.CCCRN.3879,,,,,,3,3,3,3,0,,0,3
w5Q8AnPJWgs,Okigwe General Hospital,p.ng.ECEWS.3976,,924,896,28,31,90,90,90,90,1,,19,278
IhdNmjiCzMC,Okwe Maternal and Child Health Clinic,p.ng.ECEWS.3991,,,,,,18,18,18,18,,,0,198
YTl8KqGkHuW,Okwelle Primary Health Center,p.ng.ECEWS.3986,,,,,,80,80,80,80,,,0,263
t7d1Jafn7pn,Okwuabala Health Center,p.ng.CCCRN.4014,,,,,,46,46,46,46,0,,0,103
CUmBDlr0IHC,Onicha Primary Health Center,p.ng.CCCRN.3806,,,,,,504,504,504,504,0,,0,504
q0XSY6P3pH7,Onuma Maternal and Child Health,p.ng.CCCRN.4034,,,,,,53,53,53,53,0,,0,393
Ox2Glqe1fZD,Orogwe Health Center,p.ng.CCCRN.4066,,,,,,0,0,0,0,0,,0,0
FPRuTh36U56,Osina Community Hospital,p.ng.CCCRN.3816,,,,,,74,74,74,74,0,,0,74
HD4blJMxPjK,Osuh Primary Health Center,p.ng.ECEWS.3852,,,,,,218,218,218,218,2,,0,321
nELlSoRvjxw,Our Lady of Mercy - Obowo,p.ng.ECEWS.3942,,368,348,20,13,27,27,27,27,2,,6,137
BFeirzq9CRR,Our Saviour Hospital,p.ng.ECEWS.3840,,,,,,19,19,19,19,,,0,68
nUnMURpXuvc,Owerre Health Center,p.ng.CCCRN.3822,,,,,,23,23,23,23,0,,0,23
uwlIdZCiLo5,Owerre Nkworji Health Center,p.ng.CCCRN.3911,,,,,,31,31,31,31,2,,0,29
XZ1ZMeWfpUp,St. David Hospital,p.ng.CCCRN.4054,,,,,,171,171,171,171,0,,0,486
GRNvujtMkBW,St. Mary Joint Hospital - Amaigbo,p.ng.CCCRN.3922,,323,311,12,24,50,50,50,50,5,,0,46
MCrPcWoC7F0,Ulano Primary Health Center,p.ng.CCCRN.3861,,,,,,173,173,173,173,0,,0,173
QyJz9kmdSBU,Umeizuruike Hospital - Owerri,p.ng.CCCRN.4050,,,,,,0,0,0,0,0,,0,840
nTEavHH6036,Umuakagu Health Center,p.ng.ECEWS.3797,,,,,,11,11,11,11,1,,1,91
gTRfAjo8ytk,Umuawaibu 1 Health Center,p.ng.ECEWS.3978,,,,,,17,17,17,17,0,,0,99
zJAxIsslnTe,Umudi Health Center,p.ng.CCCRN.3912,,,,,,45,45,45,45,0,,0,45
tb1CoNjkies,Umueze 1 Umunanom Health Center,p.ng.ECEWS.3790,,,,,,25,25,25,25,,,0,156
AWHV3JM4zeH,Umuezeaga Health Center,p.ng.CCCRN.3819,,,,,,11,11,11,11,0,,0,11
UeLjyCRf41x,Umuezeala Owere Health Center,p.ng.ECEWS.3796,,,,,,75,75,75,75,1,,1,336
vTQryxJAF1X,Umugara Health Center,p.ng.CCCRN.3913,,,,,,24,24,24,24,0,,0,24
VvecKNOYAnA,Umukabia Health Center,p.ng.CCCRN.3909,,,,,,12,12,12,12,0,,0,12
VodaSBfWH1S,Umulogho Primary Health Center,p.ng.ECEWS.3933,,,,,,3,3,3,3,0,,0,154
zSTewg15QUb,Umuneato Isiogwa Primary Health Center,p.ng.CCCRN.3881,,,,,,76,76,76,76,0,,0,76
Rla7gN0vgoQ,Umuneke Primary Health Center,p.ng.CCCRN.3885,,,,,,114,114,114,114,3,,1,114
Q216VTUvdtu,Umuohiagu Primary Health Center,p.ng.CCCRN.3886,,,,,,58,58,58,58,0,,0,58
GziCtj703RW,Umuokanne Health Center,p.ng.CCCRN.3967,,,,,,359,359,359,359,2,,2,358
NaG6FuzlAnL,Umuokirika Primary Health Center,p.ng.CCCRN.3789,,,,,,150,150,150,150,1,,0,150
iXDUO24HtSX,Umuokwe Primary Health Center,p.ng.CCCRN.4027,,,,,,46,46,46,46,0,,0,410
ADnimjqO4cN,Umuzike Health Center,p.ng.CCCRN.3995,,,,,,310,310,310,310,0,,0,418
rmUzUVT7bwW,Abadawa Primary Health Center,,,,,,,334,334,334,334,0,,0,170
ylV11DH0VUE,Aboro Primary Health Center,p.ng.CIHP.4461,,,,,,364,364,364,364,1,,0,678
fiC3mpkjajt,Ahmadu Bello University Teaching Hospital - Shika,p.ng.FGHiN.4125,,4016,3897,119,119,412,375,375,375,41,,51,2479
BaBLiZhRPoS,Akwankwa Health Center,p.ng.CIHP.4452,,,,,,137,137,137,137,0,,0,374
vpRIpHsK1EG,Al-Munnir Hospital,p.ng.CIHP.4245,,,,,,118,118,118,118,5,,0,308
Oe98Skgwrs3,Angwan Bawa Primary Health Center,p.ng.CIHP.4415,,,,,,373,373,373,373,1,,0,232
aQTk0pRk6eY,Barau Dikko Specialist Hospital,p.ng.CIHP.4242,,3924,3869,55,162,774,774,774,774,62,,3,6129
gZeeGIFJ9KY,Barnawa Primary Health Center,p.ng.CIHP.4280,,,,,,182,182,182,182,3,,0,848
ka5T5cXKFup,Biba Hospital,p.ng.CIHP.4261,,,,,,71,71,71,71,0,,0,194
VTv6H1vQyde,Birningwari Maternal Child Health Care,,,,,,,220,220,220,220,0,,0,0
USC9pf5wbqf,Bitaro Primary Health Center,p.ng.CIHP.4164,,,,,,201,201,201,201,0,,0,258
OCrU5mRDC9C,Child Welfare Clinic - Kwoi,p.ng.CIHP.4173,,,,,,374,374,374,374,0,,0,461
bpGqH11T26K,Church of Christ in Nigeria (COCIN) Clinic and Maternity - Mararaba Kaduna,,,,,,,47,47,47,47,,,0,348
JgsxKbZy7Hb,Church of Christ in Nigeria (COCIN) Primary Health Center - Yelwa,p.ng.CCFN.4113,,,,,,9,9,9,9,,,0,104
u2YY3OW0w6X,Crossing Primary Health Center,p.ng.CIHP.4214,,,,,,115,115,115,115,0,,0,356
HneMVa1g1rl,Damakasuwa Health Clinic,p.ng.CIHP.4366,,,,,,159,159,159,159,0,,0,524
n0FZTZqHMI4,Damari Primary Health Center,,,,,,,588,588,588,588,1,,0,12
Vm4aGg3q90l,Dandaura Primary Health Center,,,,,,,276,276,276,276,1,,0,434
xixDoW7FKsu,Danguziri Primary Health Center,p.ng.CIHP.4420,,,,,,388,388,388,388,0,,0,389
icS1RRNGi9C,Dogondawa Model Primary Health Centre,,,,,,,103,103,103,103,0,,0,0
IO38n1uX0Z7,Evangelical Church of West Africa (ECWA) Comprehensive Health Center - Ungwan Bawa,p.ng.CCFN.4418,,,,,,56,56,56,56,1,,0,617
Q08WuqBqOrs,Evangelical Church of West Africa (ECWA) Health Center - Kagoro,p.ng.CIHP.4337,,,,,,27,27,27,27,0,,0,294
ERmFvnjnV03,Evangelical Church of West Africa (ECWA) Health Center - Kibori Atyap,p.ng.CCFN.4495,,,,,,47,47,47,47,0,,0,384
P6wb6qxR4rk,Evangelical Church of West Africa (ECWA) Health Clinic - Mariri,p.ng.CCFN.4419,,,,,,14,14,14,14,0,,0,319
FSeEcYTr3h8,Evangelical Reformed Church of Christ (ERCC) Primary Health Center - Karshi,p.ng.CCFN.4473,,,,,,41,41,41,41,1,,1,333
O8aso3CNkNl,Fadan Kagoma Primary Health Center,p.ng.CIHP.4189,,,,,,140,140,140,140,0,,0,225
dwAvWQFlxx2,Federation of Muslim Women Association of Nigeria (FOMWAN) Hospital,p.ng.CIHP.4239,,,,,,27,27,27,27,0,,0,840
lVJyNgG5zpp,Galadima Health Clinic,p.ng.CIHP.4150,,,,,,45,45,45,45,0,,0,0
sJcKAjJ1Qez,Garaje Primary Health Center,p.ng.CIHP.4344,,,,,,21,21,21,21,0,,0,447
XyGNdts89ji,Garun Kurama Primary Health Center,p.ng.CIHP.4411,,,,,,210,209,209,209,3,,0,212
nu9c0w9q0CA,Gazara Primary Health Center,,,,,,,158,158,158,158,0,,0,214
zDhjewQr48h,Gidan Waya Primary Health Center,p.ng.CIHP.4190,,,,,,80,80,80,80,0,,0,192
ebLQTZgsfgz,Giwa General Hospital,p.ng.FGHiN.4124,,416,408,8,25,522,520,520,520,3,,4,1899
gOO2jNM0enh,Godogodo Primary Health Center,p.ng.CIHP.4181,,,,,,64,64,64,64,0,,0,305
uq98eMvdS5R,Gwamna Awan General Hospital,p.ng.CIHP.4263,,3354,3302,52,200,714,641,641,641,62,,13,4999
Rkng2n9u1rk,Gwanki Primary Health Center,,,,,,,225,225,225,225,0,,0,202
CXY35SPtbPf,Gwantu General Hospital,p.ng.CIHP.4450,,2244,2172,72,98,70,68,68,68,10,,2,1169
HwVtJkZK6mX,Gwantu Primary Health Center,p.ng.CIHP.4472,,,,,,602,602,602,602,0,,0,993
R55qx0TWfCK,Gyelesu Primary Health Center,p.ng.CIHP.4507,,,,,,62,62,62,62,1,,0,651
V0IswqM1byH,Hajiya Gambo Sawaba Hospital,p.ng.CIHP.4504,,1287,1255,32,64,846,846,846,846,26,,11,2987
uQx06yCByKI,Hope for the Village Child,,,,,,,12,12,12,12,2,,0,151
Md3GGdU4n1S,Jagindi Tasha Health Clinic,p.ng.CIHP.4192,,,,,,213,213,213,213,1,,0,257
P2CO8dS7XTK,Jaji Comprehensive Health Center,p.ng.CIHP.4133,,,,,,594,594,594,594,10,,0,3010
k9ShWQ2CK5c,Jere Primary Health Center,p.ng.CIHP.4284,,,,,,564,564,564,564,8,,0,1463
m4mw3TJxbJy,Jibrin Maigwari General Hospital,p.ng.CIHP.4103,,579,563,16,66,688,682,682,682,8,,0,2241
Y8LrXkR1LuJ,Jingir Primary Health Center,,,,,,,303,303,303,303,1,,0,1414
bSDq2EfthjS,Kachia General Hospital,p.ng.CIHP.4225,,1067,1052,15,48,586,586,586,586,15,,0,3288
mMYdCawgXau,Kadage Health Clinic,p.ng.CIHP.4364,,,,,,386,386,386,386,1,,0,459
yR3KYnURaLT,Kafanchan Family Health Unit,p.ng.CIHP.4194,,,,,,480,480,480,480,2,,0,1018
GPe3nnQbHA6,Kafanchan General Hospital,p.ng.CIHP.4186,,3885,3852,33,79,384,384,384,384,15,,21,4797
bicj8vjb7BV,Kaki Dare Primary Health Center,,,,,,,311,311,311,311,0,,0,98
OxxRG4OO0Ec,Kakuri 1 Primary Health Center,p.ng.CIHP.4273,,,,,,18,18,18,18,0,,0,38
U862koFe8g5,Kakuri II Primary Health Center,p.ng.CIHP.4272,,,,,,7,7,7,7,0,,0,112
ANn7I7032YH,Kampanin Doka Primary Health Centre,,,,,,,84,84,84,84,0,,0,0
JWZaYKHTAvt,Kasuwa Magani Primary Health Center,p.ng.CIHP.4115,,,,,,446,446,446,446,4,,0,803
qwEWFTHOXSA,Kasuwar Mata Primary Health Center,,,,,,,452,451,451,451,3,,0,228
aESQbWBGkxc,Kaura Primary Health Center,p.ng.CIHP.4333,,,,,,15,15,15,15,0,,0,68
cDo6JpmV6bP,Kauru Primary Health Center,p.ng.CIHP.4371,,,,,,312,312,312,312,0,,0,609
GRhndXkuvmD,Kauru Rural Hospital,p.ng.CIHP.4375,,287,287,0,17,297,297,297,297,0,,0,514
ZD8SEdhkeTQ,Kawo General Hospital,p.ng.CIHP.4243,,998,971,27,91,1499,1499,1499,1499,18,,9,4460
DzcxGhh17ZF,Kidugu II Model Primary Health Center,p.ng.CIHP.4373,,,,,,253,253,253,253,1,,0,605
s7dVL9iRI0l,Krosha Maternal Child Health,,,,,,,348,347,347,347,,,0,123
Xs1MosdNYO5,Kudenda Primary Health Center,,,,,,,205,205,205,205,10,,0,542
nwcnPbXH2SR,Kujama Primary Health Center,p.ng.CIHP.4111,,,,,,281,281,281,281,2,,0,513
oB3NepeAtXB,Kurmi Mashi Primary Health Center,,,,,,,75,75,75,75,2,,0,160
GeAndVjik4A,Kuyello Primary Health Center,,,,,,,106,106,106,106,1,,0,108
b54iXGWcmCB,Kwoi General Hospital,p.ng.CIHP.4166,,1209,1194,15,33,30,30,30,30,2,,3,4893
hHv6YuMBDin,Langa Health Center,p.ng.CIHP.4454,,,,,,428,428,428,428,0,,0,529
VSapwRuy9o3,Laruth Health Facility,p.ng.CIHP.4355,,,,,,51,51,51,51,0,,0,262
Eq0SMoSZuRc,Lere Primary Health Center,p.ng.CIHP.4414,,,,,,347,347,347,347,0,,0,91
CMjlhTJLHKj,Maganda Primary Health Center,,,,,,,0,0,0,0,0,,0,0
Udv9Pm4rGAR,Maigamo Primary Health Center,,,,,,,263,263,263,263,0,,0,145
uYOS4lYipBj,Mailafiya Health Clinic,p.ng.CIHP.4180,,,,,,118,118,118,118,0,,0,158
nDa1uUKmVhb,Major Ibrahim Bello Abdullahi Memorial Hospital,p.ng.FGHiN.4444,,285,273,12,34,367,366,366,366,14,,2,2797
exfJ24Nth7L,Makama Chori Health Center,p.ng.CIHP.4143,,,,,,55,55,55,55,0,,0,93
QuiAPHqPxwY,Makarfi General Hospital,p.ng.CIHP.4425,,784,758,26,63,525,522,522,522,6,,12,951
uEhcBbwErng,Makarfi Primary Health Center,,,,,,,343,343,343,343,1,,0,665
IzbxBJjD6IG,Makera I Primary Health Center,p.ng.CIHP.4256,,,,,,288,288,288,288,4,,0,459
Dg2qT9iJTaq,Mararaba Rido Primary Health Center,p.ng.CIHP.4331,,,,,,297,297,297,297,4,,0,576
n19QNSdO3Yu,Mayere Primary Health Center,p.ng.CIHP.4423,,,,,,144,143,143,143,1,,0,127
iY9AWY5Juy5,Mayir Primary Health Center,p.ng.CIHP.4470,,,,,,398,398,398,398,0,,0,770
OF6w1FUfvSf,Narayi Primary Health Center,p.ng.CIHP.4276,,,,,,0,0,0,0,0,,0,145
qq4e0kfaUvb,Nasarawa Primary Health Center,p.ng.CIHP.4108,,,,,,281,281,281,281,2,,0,367
lLdc7dRUqzs,National Tuberculosis And Leprosy Training Center - Zaria,p.ng.IHVN.4514,,2257,2257,0,79,,,,,,,,3493
tumi2lmViL2,New Era Maternity and Hospital,p.ng.CIHP.4185,,,,,,375,375,375,375,6,,0,798
tVjg7MfEpfY,Nimbe Health Center,p.ng.CIHP.4456,,,,,,398,81,81,81,1,,0,206
bgbttW5feAV,Paki I Health Clinic - Kagoma,p.ng.CIHP.4199,,,,,,97,97,97,97,0,,0,124
PoIQpdF8RTG,Pambegua General Hospital,p.ng.CIHP.4400,,524,524,0,33,204,204,204,204,2,,0,798
ZKGDUXMpiQh,Rafin Guza Primary Health Center,p.ng.CIHP.4231,,,,,,384,384,384,384,0,,0,928
FIyoBlcRtsm,Ramin Kura Primary Health Center,p.ng.CIHP.4416,,,,,,411,410,410,410,1,,0,114
D88r3nfLBWX,Randagi Primary Health Center,,,,,,,207,207,207,207,0,,0,418
J1oipuLuwaA,Rijana Health Center,p.ng.CIHP.4206,,,,,,109,109,109,109,2,,0,206
FLqvfq0KBA4,Romi Primary Health Center,p.ng.CIHP.4109,,,,,,255,255,255,255,7,,0,493
i6Rcojd7d9S,Sabo Tsaha Primary Health Center,,,,,,,369,369,369,369,6,,10,932
Os1iE6RNSnx,Sabon Tasha General Hospital,p.ng.CIHP.4110,,2334,2309,25,93,610,610,610,610,38,,19,1866
oLJpdUHh2sK,Sabonlayi Health Center,,,,,,,167,167,167,167,0,,0,0
f0wy9MgKtUx,Salem Medical Center - Kafanchan,p.ng.CCFN.4193,,,,,,25,25,25,25,0,,0,155
XCixcBgl6uz,Saminaka General Hospital,p.ng.CIHP.4408,,1396,1373,23,99,944,932,932,932,14,,38,344
ht9EJCuor0B,Soba Comprehensive Health Center,p.ng.CIHP.4475,,,,,,769,769,769,769,1,,0,1196
yfPEukzMBhy,St. Gerald's Hospital - Kaduna,p.ng.CCFN.4265,,3740,3681,59,101,353,353,353,353,11,,38,5353
uYxACgpJgI9,St. Louis Hospital - Zonkwa,p.ng.CCFN.4496,,982,959,23,9,16,16,16,16,24,,10,930
UpPEVKM0hWO,Tabanni Model Primary Health Centre,,,,,,,93,93,93,93,0,,0,0
uDPDgMxSdDU,Taffa Health Center,p.ng.CIHP.4292,,,,,,154,154,154,154,1,,0,679
GcbMxeF89uA,Tashan Yari Primary Health Center,p.ng.CIHP.4421,,,,,,401,401,401,401,1,,0,128
zVAiLsWRBQb,Television Primary Health Center,p.ng.CIHP.4260,,,,,,95,95,95,95,3,,0,852
BTfKBTk1iJ9,Tudun Wada Family Health Unit,p.ng.CIHP.4277,,,,,,1187,861,861,861,13,,0,927
Gh18S2BxHKn,Tukur Malali Primary Health Center,p.ng.CIHP.4233,,,,,,93,93,93,93,1,,0,151
o4cmDXLnMGz,Tukur Tukur Primary Health Center,p.ng.CIHP.4512,,,,,,103,103,103,103,0,,0,453
VYk8FuLG2G1,Turaki Buga Memorial Hospital,p.ng.CIHP.4342,,,,,,73,73,73,73,2,,0,464
j0abrnQZSuL,Ungwan Fari Primary Health Center,p.ng.CIHP.4195,,,,,,157,157,157,157,0,,0,159
TneCwxLrGSs,Ungwan Rimi Primary Health Center,p.ng.CIHP.4230,,,,,,175,175,175,175,2,,0,263
hD3xRpPBnWf,Ungwan Shanu Primary Health Center,p.ng.CIHP.4237,,,,,,207,207,207,207,5,,0,2298
U6TQt3XpAyS,Wasa Primary Health Center,p.ng.CIHP.4466,,,,,,303,303,303,303,2,,0,539
D15V3TSkuVJ,Wilbasun Hospital,p.ng.CIHP.4114,,,,,,4,4,4,4,0,,0,236
iiN0GpCCS79,Yarkasuwa Primary Health Center,p.ng.CIHP.4413,,,,,,390,390,390,390,2,,0,139
pt20jaMEKHx,Yusuf Dantsoho Memorial Hospital,p.ng.CIHP.4264,,2825,2805,20,152,1322,1143,1143,1143,32,,9,6434
jHjDEUVD87x,Zango-Kataf General Hospital,p.ng.CIHP.4494,,688,684,4,23,239,239,239,239,4,,4,3630
ti735gO0Yhm,Ahmadiyya Muslim Hospital,,,552,548,4,12,71,71,71,71,6,,10,1391
v5amiydkXFR,Al Noury Specialist Hospital,p.ng.FGHiN.4595,,1265,1236,29,36,58,55,55,56,4,,38,501
E5jz9JxYBuv,Aminu Kano Teaching Hospital - Kano,p.ng.IHVN.4558,,7615,7475,140,282,533,533,533,533,26,,133,2549
zcSL0a1oPEw,Evangelical Church of West Africa (ECWA) Clinic and Maternity,,,,,,,152,152,152,152,3,,7,152
cDBBCOyZlvK,Gezewa General Hospital,p.ng.FGHiN.4534,,406,402,4,27,1437,1433,1433,1433,6,,0,4956
PDVQpUxTXWh,Mariya Sanusi Primary Health Care,p.ng.IHVN.4599,,,,,,1019,1019,1019,1019,8,,0,1014
ClB8Ry98tWe,Mohammad Abdullahi Wase Specialist Hospital Nassarwa,,,269,258,11,43,1380,1380,1380,1380,6,,2,2464
jr0U0XTwpCo,Tudun Wada General Hospital,p.ng.IHVN.4597,,484,474,10,20,1698,1698,1698,1698,6,,6,2179
tZy8wIM53xT,Waziri Shehu Gidado Hospital,p.ng.IHVN.4598,,578,565,13,27,1163,1163,1163,1163,88,,27,1531
PRHYgNR5CUO,Abejukolo General Hospital,p.ng.CIHP.5156,,608,599,9,25,27,27,27,27,8,,4,518
SNFZcgRIGee,Abejukolo Primary Health Center,p.ng.CIHP.5157,,,,,,206,206,206,206,4,,0,314
gHx5gDYovCr,Acheka Medical Center - Ujielanyi,p.ng.CIHP.4942,,,,,,22,10,10,10,0,,0,44
oyiQ8ltpF2c,Aimoizza Clinic,p.ng.CIHP.4922,,,,,,477,477,477,477,14,,0,513
g6NVwIeNfgD,Ajaka Primary Health Center,p.ng.CIHP.5019,,,,,,39,39,39,39,2,,0,118
CzwWiALrME8,Ajaokuta Steel Medical Clinic,p.ng.CIHP.4929,,394,387,7,15,134,134,134,134,3,,17,1547
OJxr3xSwtVx,All Stars Clinic - Egume,p.ng.CCFN.4982,,,,,,73,73,73,73,5,,0,273
mJgQrfBTx3f,Ankpa General Hospital,p.ng.CIHP.4938,,2118,2095,23,122,347,347,347,347,31,,27,1898
WwVbcxjtu79,Ayingba Comprehensive Health Center,p.ng.CIHP.4976,,,,,,742,742,742,742,45,,0,800
N2YrIzbDRkx,Bethel Hospital,p.ng.CIHP.4944,,,,,,94,94,94,94,3,,0,941
TguuBcW7SeK,Blue House Hospital,p.ng.CIHP.4977,,,,,,247,247,247,247,11,,0,849
s6Aa4dmC9UU,Calvary Maternity,p.ng.CIHP.5140,,,,,,56,56,56,56,0,,0,133
p8ukk5eOdZA,Dekina General Hospital,p.ng.CIHP.4996,,522,513,9,28,76,76,76,76,20,,17,537
wHuOS6cG6Sr,Emere Primary Health Center,p.ng.CIHP.4945,,,,,,104,92,92,92,5,,0,316
egehzxYAhdC,Etutekpe Primary Health Center,p.ng.CIHP.5151,,,,,,63,63,63,63,2,,0,363
RWUuGmSxMC8,Gegu Beki Primary Health Center,p.ng.CIHP.5047,,,,,,85,85,85,85,4,,0,325
